X,Y,Incident_ID,Agency,Offense,Street,City,State,Zipcode,Date_of_Report,Date_of_Occurrence,Date_Found,Reported_As,Premise_Description,Forcible,Weapon_Description,Victim_Age,Victim_Race,Victim_Gender,Latitude,Longitude,ObjectId
-8800458.525,4288672.569,100048,CHPD,OPEN CONTAINER OF MALT BEVERAGE,100 S COLUMBIA ST,CHAPEL HILL,NC,27516,2013/08/02 21:08:00+00,2013/08/02 21:07:00+00,2013/08/02 21:08:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913114,-79.055864,24488
-8800516.522,4288826.099,100128,CHPD,OPEN CONTAINER,N COLUMBIA ST,CHAPEL HILL,NC,27514,2013/08/07 14:23:00+00,2013/08/07 14:22:00+00,2013/08/07 14:23:00+00,<Null>,SERVICE/GAS STATION,<Null>,<Null>,<Null>,<Null>,<Null>,35.914231,-79.056385,24614
-8800369.914,4288720.676,100126,CHPD,OPEN CONTAINER,121 E FRANKLIN ST,CHAPEL HILL,NC,27514,2013/08/07 14:55:00+00,2013/08/07 14:54:00+00,2013/08/07 14:55:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913464,-79.055068,24690
-8801241.991,4288302.842,99766,CHPD,POSSESS OPEN CONTAINER,450 W FRANKLIN ST,CHAPEL HILL,NC,27516,2013/07/20 01:46:00+00,2013/07/20 01:46:00+00,2013/07/20 01:46:00+00,<Null>,RESTAURANT,N,<Null>,<Null>,<Null>,<Null>,35.910424,-79.062902,24876
-8800441.159,4288788.85,100549,CHPD,OPEN CONTAINER,100  E ROSEMARY ST,CHAPEL HILL,NC,27516,2013/08/28 15:07:00+00,2013/08/28 15:06:00+00,2013/08/28 15:07:00+00,<Null>,PARKING LOT/AREA,N,<Null>,<Null>,<Null>,<Null>,35.91396,-79.055708,25062
-8800287.427,4288759.848,100727,CHPD,OPEN CONTAINER OF MALT BEVERAGE,143 E FRANKLIN ST,CHAPEL HILL,NC,27514,2013/09/04 22:33:00+00,2013/09/04 22:32:00+00,2013/09/04 22:33:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913749,-79.054327,25197
-8801275.498,4288282.501,100600,CHPD,OPEN CONTAINER,100 N ROBERSON ST/W FRANKLIN ST,CHAPEL HILL,NC,27516,2013/08/31 00:33:00+00,2013/08/30 23:55:00+00,2013/08/30 23:55:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.910276,-79.063203,25338
-8800342.641,4288821.7,100728,CHPD,OPEN CONTAINER,137 E FRANKLIN ST,CHAPEL HILL,NC,27514,2013/09/05 01:14:00+00,2013/09/04 23:00:00+00,2013/09/04 23:00:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,<Null>,<Null>,<Null>,<Null>,<Null>,35.914199,-79.054823,25443
-8800929.963,4288452.381,100257,CHPD,OPEN CONTAINER OF MALT BEVERAGE,310 W FRANKLIN ST,CHAPEL HILL,NC,27516,2013/08/13 18:32:00+00,2013/08/13 18:31:00+00,2013/08/13 18:32:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.911512,-79.060099,25490
-8800904.916,4288695.935,101231,CHPD,OPEN CONTAINER,308 WEST ROSEMARY ST,CHAPEL HILL,NC,27514,2013/09/28 16:20:00+00,2013/09/28 16:19:00+00,2013/09/28 16:20:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,<Null>,<Null>,<Null>,<Null>,<Null>,35.913284,-79.059874,26381
-8800148.834,4288825.686,101701,CHPD,OPEN CONTAINER OF MALT BEVERAGE,175 E FRANKLIN ST,CHAPEL HILL,NC,27514,2013/10/19 23:19:00+00,2013/10/19 21:38:00+00,2013/10/19 21:39:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.914228,-79.053082,26696
-8800253.919,4288767.408,102817,CHPD,OPEN CONTAINER OF MALT BEVERAGE,150 E FRANKLIN ST,CHAPEL HILL,NC,27514,2013/12/21 22:10:00+00,2013/12/21 22:09:00+00,2013/12/21 22:10:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913804,-79.054026,27561
-8801134.011,4288734.008,103896,CHPD,OPEN CONTAINER OF MALT BEVERAGE,214 NUNN LN,CHAPEL HILL,NC,27516,2014/02/25 00:47:00+00,2014/02/25 00:46:00+00,2014/02/25 00:47:00+00,<Null>,BEHIND BUILDING/ALLEY,N,<Null>,<Null>,<Null>,<Null>,35.913561,-79.061932,28873
-8800694.633,4288563.986,104071,CHPD,OPEN CONTAINER IN PVA,140 W FRANKLIN ST,CHAPEL HILL,NC,27516,2014/03/08 15:50:00+00,2014/03/08 04:00:00+00,2014/03/08 04:00:00+00,<Null>,ENCLOSED PARKING/DECK,N,<Null>,<Null>,<Null>,<Null>,35.912324,-79.057985,28921
-8800209.392,4288819.501,104906,CHPD,OPEN CONTAINER,165 E FRANKLIN ST,CHAPEL HILL,NC,27514,2014/04/19 03:28:00+00,2014/04/19 02:00:00+00,2014/04/19 03:28:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.914183,-79.053626,29227
-8800355.22,4288727.685,104820,CHPD,OPEN CONTAINER MALT BEVERAGE,125 E FRANKLIN ST,CHAPEL HILL,NC,27514,2014/04/15 01:55:00+00,2014/04/14 19:38:00+00,2014/04/15 01:55:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913515,-79.054936,29390
-8800950.779,4288597.523,104545,CHPD,POSSSESSION OF AN OPEN CONTAINER,316 W ROSEMARY ST,CHAPEL HILL,NC,27516,2014/04/02 02:20:00+00,2014/04/02 02:19:00+00,2014/04/02 02:20:00+00,<Null>,OTHER RETAIL ESTABLISHMENT,N,<Null>,<Null>,<Null>,<Null>,35.912568,-79.060286,29594
-8798258.518,4286652.695,104950,CHPD,OPEN CONTAINER,FORDHAM BLVD @ MANNING DR,CHAPEL HILL,NC,27514,2014/04/21 18:54:00+00,2014/04/21 18:53:00+00,2014/04/21 18:53:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.898417,-79.036101,29617
-8800322.715,4288761.498,104721,CHPD,POSSESS OPEN CONTAINER,135 E FRANKLIN ST,CHAPEL HILL,NC,27514,2014/04/10 23:57:00+00,2014/04/10 23:56:00+00,2014/04/10 23:57:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913761,-79.054644,29827
-8798454.663,4290281.232,105240,CHPD,OPEN CONTAINER,E FRANKLIN ST,CHAPEL HILL,NC,27514,2014/05/03 20:11:00+00,2014/05/03 20:10:00+00,2014/05/03 20:11:00+00,<Null>,SERVICE/GAS STATION,<Null>,<Null>,<Null>,<Null>,<Null>,35.924817,-79.037863,29975
-8800409.655,4288663.498,105468,CHPD,OPEN CONTAINER,100 EAST FRANKLIN ST,CHAPEL HILL,NC,27514,2014/05/13 21:27:00+00,2014/05/13 20:00:00+00,2014/05/13 21:27:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913048,-79.055425,30178
-8800363.013,4288715.59,105475,CHPD,OPEN CONTAINER,122 E FRANKLIN ST,CHAPEL HILL,NC,27514,2014/05/14 01:14:00+00,2014/05/14 00:39:00+00,2014/05/14 00:40:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913427,-79.055006,30435
-8801344.294,4288259.136,105758,CHPD,POSSESS OPEN CONTAINER IN VEHICLE,558 W FRANKLIN ST,CHAPEL HILL,NC,27514,2014/05/27 08:34:00+00,2014/05/26 16:00:00+00,2014/05/26 16:13:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.910106,-79.063821,30446
-8800270.061,4288768.095,106258,CHPD,OPEN CONTAINER OF MALT BEVERAGE,147 E FRANKLIN ST,CHAPEL HILL,NC,27514,2014/06/21 01:30:00+00,2014/06/21 01:30:00+00,2014/06/21 01:30:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913809,-79.054171,30643
-8796246.974,4292440.924,106391,CHPD,OPEN CONTAINER IN PASSENGER AREA,EUROPA DR,CHAPEL HILL,NC,27514,2014/06/27 23:37:00+00,2014/06/27 23:36:00+00,2014/06/27 23:37:00+00,<Null>,SERVICE/GAS STATION,<Null>,<Null>,<Null>,<Null>,<Null>,35.940526,-79.018031,30866
-8800370.36,4288712.154,106277,CHPD,OPEN CONTAINER IN VEHICLE,120 E FRANKLIN ST,CHAPEL HILL,NC,27514,2014/06/22 00:26:00+00,2014/06/22 00:25:00+00,2014/06/22 00:26:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913402,-79.055072,30919
-8801042.618,4288550.379,106842,CHPD,POSSESSION OF OPEN CONTAINER,W ROSEMARY ST,CHAPEL HILL,NC,27516,2014/07/20 00:53:00+00,2014/07/20 00:52:00+00,2014/07/20 00:53:00+00,<Null>,SERVICE/GAS STATION,<Null>,<Null>,<Null>,<Null>,<Null>,35.912225,-79.061111,31293
-8800204.828,4289001.485,106839,CHPD,POSSESSION OF OPEN CONTAINER,HENDERSON ST,CHAPEL HILL,NC,27516,2014/07/20 01:35:00+00,2014/07/20 01:34:00+00,2014/07/20 01:35:00+00,<Null>,SERVICE/GAS STATION,<Null>,NONE,<Null>,<Null>,<Null>,35.915507,-79.053585,31295
-8795050.513,4293365.204,106875,CHPD,POSSESS OPEN CONTAINER IN A VEHICLE,FORDHAM BLVD/CHAPEL HILL BLVD,CHAPEL HILL,NC,27514,2014/07/21 19:36:00+00,2014/07/21 19:35:00+00,2014/07/21 19:36:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.947248,-79.007283,31566
-8800218.075,4288792.836,106938,CHPD,OPEN CONTAINER OF MALT BEVERAGE,159 E FRANKLIN ST,CHAPEL HILL,NC,27514,2014/07/24 22:01:00+00,2014/07/24 22:00:00+00,2014/07/24 22:01:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913989,-79.053704,31582
-8800929.963,4288452.381,107294,CHPD,OPEN CONTAINER OF MALT BEVERAGE,310 W FRANKLIN ST,CHAPEL HILL,NC,27516,2014/08/12 19:58:00+00,2014/08/12 19:57:00+00,2014/08/12 19:58:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.911512,-79.060099,31669
-8801042.618,4288550.379,106524,CHPD,POSSESSION OF OPEN CONTAINER,W ROSEMARY ST,CHAPEL HILL,NC,27516,2014/07/04 14:47:00+00,2014/07/04 14:47:00+00,2014/07/04 14:47:00+00,<Null>,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,<Null>,<Null>,<Null>,<Null>,<Null>,35.912225,-79.061111,31807
-8800191.358,4288691.812,108308,CHPD,OPEN CONTAINER OF MALT BEVERAGE,150 E FRANKLIN ST,CHAPEL HILL,NC,27514,2014/09/26 22:20:00+00,2014/09/26 22:19:00+00,2014/09/26 22:20:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913254,-79.053464,32370
-8800443.051,4288675.73,108446,CHPD,OPEN CONTAINER OF MALT BEVERAGE,100 E FRANKLIN ST,CHAPEL HILL,NC,27514,2014/10/03 01:15:00+00,2014/10/03 01:15:00+00,2014/10/03 01:15:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913137,-79.055725,32782
-8801132.119,4288719.439,108929,CHPD,OPEN CONTAINER,NUNN LANE,CHAPEL HILL,NC,27514,2014/10/26 16:19:00+00,2014/10/26 15:45:00+00,2014/10/26 15:45:00+00,<Null>,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,<Null>,<Null>,<Null>,<Null>,<Null>,35.913455,-79.061915,33622
-8801132.119,4288719.439,108558,CHPD,OPEN CONTAINER OF MALT BEVERAGE,NUNN LN,CHAPEL HILL,NC,27516,2014/10/07 13:14:00+00,2014/10/07 13:00:00+00,2014/10/07 13:12:00+00,<Null>,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,<Null>,<Null>,<Null>,<Null>,<Null>,35.913455,-79.061915,33660
-8801225.182,4288424.892,110505,CHPD,ALCOHOL VIOLATIONS/ OPEN CONTAINER,407 W ROSEMARY ST,CHAPEL HILL,NC,27516,2015/01/17 15:00:00+00,2015/01/17 15:00:00+00,2015/01/17 15:00:00+00,<Null>,ALL OTHER,<Null>,<Null>,<Null>,<Null>,<Null>,35.911312,-79.062751,34821
-8800580.642,4288675.593,110872,CHPD,OPEN CONTAINER,120 W FRANKLIN ST,CHAPEL HILL,NC,27514,2015/02/04 09:29:00+00,2015/02/04 09:07:00+00,2015/02/04 09:07:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913136,-79.056961,35744
-8800228.427,4288941.556,111957,CHPD,OPEN CONTAINER,157 E ROSEMARY ST,CHAPEL HILL,NC,27514,2015/04/03 00:49:00+00,2015/04/03 00:48:00+00,2015/04/03 00:49:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.915071,-79.053797,36066
-8801018.239,4288401.664,111616,CHPD,OPEN CONTAINER OF MALT BEVERAGE,409 W FRANKLIN ST,CHAPEL HILL,NC,27516,2015/03/17 19:19:00+00,2015/03/17 19:18:00+00,2015/03/17 19:19:00+00,<Null>,PARKING LOT/AREA,N,<Null>,<Null>,<Null>,<Null>,35.911143,-79.060892,36140
-8799556.392,4291701.227,111549,CHPD,OPEN CONTAINER OF MALT BEVERAGE,CASWELL RD @ ESTES DR,CHAPEL HILL,NC,27514,2015/03/14 21:13:00+00,2015/03/14 21:13:00+00,2015/03/14 21:13:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,<Null>,<Null>,<Null>,<Null>,<Null>,35.935146,-79.04776,36202
-8800977.496,4288531.412,112137,CHPD,OPEN CONTAINER,325 W ROSEMARY ST,CHAPEL HILL,NC,27516,2015/04/10 19:28:00+00,2015/04/10 19:27:00+00,2015/04/10 19:28:00+00,<Null>,BEHIND BUILDING/ALLEY,N,<Null>,<Null>,<Null>,<Null>,35.912087,-79.060526,36255
-8800131.468,4288833.933,111792,CHPD,OPEN CONTAINER OF MALT BEVERAGE,179 E FRANKLIN ST,CHAPEL HILL,NC,27514,2015/03/26 19:58:00+00,2015/03/26 19:58:00+00,2015/03/26 19:58:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.914288,-79.052926,36378
-8800253.919,4288767.408,111791,CHPD,OPEN CONTAINER OF MALT BEVERAGE,150 E FRANKLIN ST,CHAPEL HILL,NC,27514,2015/03/26 20:59:00+00,2015/03/26 20:59:00+00,2015/03/26 20:59:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,<Null>,<Null>,<Null>,<Null>,<Null>,35.913804,-79.054026,36424
-8800929.963,4288452.381,111800,CHPD,OPEN CONTAINER OF MALT BEVERAGE,310 W FRANKLIN ST,CHAPEL HILL,NC,27516,2015/03/26 22:17:00+00,2015/03/26 22:16:00+00,2015/03/26 22:17:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.911512,-79.060099,36451
-8800903.803,4288465.301,112037,CHPD,OPEN CONTAINER OF MALT BEVERAGE,306 W FRANKLIN ST,CHAPEL HILL,NC,27516,2015/04/06 13:02:00+00,2015/04/06 13:01:00+00,2015/04/06 13:02:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.911606,-79.059864,36786
-8800272.732,4288911.867,111948,CHPD,OPEN CONTAINER,150 E ROSEMARY ST,CHAPEL HILL,NC,27514,2015/04/02 02:08:00+00,2015/04/02 02:07:00+00,2015/04/02 02:08:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.914855,-79.054195,36917
-8801279.729,4288280.439,112638,CHPD,OPEN CONTAINER OF ALCOHOL,N ROBERSON ST @ W FRANKLIN ST,CHAPEL HILL,NC,27514,2015/05/02 12:20:00+00,2015/05/02 12:19:00+00,2015/05/02 12:19:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.910261,-79.063241,37205
-8801262.029,4288470.798,112692,CHPD,OPEN CONTAINER,406 W ROSEMARY ST,CHAPEL HILL,NC,27514,2015/05/04 08:20:00+00,2015/05/04 08:19:00+00,2015/05/04 08:20:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.911646,-79.063082,37215
-8800456.855,4288677.655,113129,CHPD,OPEN CONTAINER,W FRANKLIN ST @ COLUMBIA ST,CHAPEL HILL,NC,27516,2015/05/23 10:30:00+00,2015/05/23 10:30:00+00,2015/05/23 10:30:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913151,-79.055849,37536
-8800413.886,4288699.234,113002,CHPD,OPEN CONTAINER,109 E FRANKLIN ST,CHAPEL HILL,NC,27514,2015/05/16 21:31:00+00,2015/05/16 02:31:00+00,2015/05/16 02:31:00+00,<Null>,PARKING LOT/AREA,N,<Null>,<Null>,<Null>,<Null>,35.913308,-79.055463,37540
-8797607.521,4291576.391,113445,CHPD,OPEN CONTAINER ON TOWN PROPERTY,1615 E FRANKLIN ST,CHAPEL HILL,NC,27514,2015/06/06 12:51:00+00,2015/06/06 12:50:00+00,2015/06/06 12:51:00+00,<Null>,GOVERNMENT/PUBLIC BUILDING,N,<Null>,<Null>,<Null>,<Null>,35.934238,-79.030253,37671
-8800468.655,4288672.019,113260,CHPD,OPEN CONTAINER,102 W FRANKLIN ST,CHAPEL HILL,NC,27516,2015/05/29 19:53:00+00,2015/05/29 19:52:00+00,2015/05/29 19:53:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.91311,-79.055955,37909
-8800279.857,4288755.038,114407,CHPD,OPEN CONTAINER,144 E FRANKLIN ST,CHAPEL HILL,NC,27514,2015/07/19 01:18:00+00,2015/07/19 01:18:00+00,2015/07/19 01:18:00+00,MISC OFFICER IN,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913714,-79.054259,38025
-8801304.887,4288264.359,113994,CHPD,OPEN CONTAINER,505 W FRANKLIN ST,CHAPEL HILL,NC,27516,2015/06/29 16:07:00+00,2015/06/29 16:07:00+00,2015/06/29 16:07:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.910144,-79.063467,38133
-8801018.239,4288401.664,114104,CHPD,OPEN CONTAINER,409 W FRANKLIN ST,CHAPEL HILL,NC,27516,2015/07/04 17:31:00+00,2015/07/04 17:31:00+00,2015/07/04 17:31:00+00,MISC OFFICER IN,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.911143,-79.060892,38316
-8801090.485,4288522.065,113771,CHPD,OPEN CONTAINER OF MALT BEVERAGE,333 W ROSEMARY ST,CHAPEL HILL,NC,27516,2015/06/19 21:01:00+00,2015/06/19 21:00:00+00,2015/06/19 21:01:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.912019,-79.061541,38669
-8800261.489,4288772.219,114364,CHPD,OPEN CONTAINER OF MALT BEVERAGE,149 E FRANKLIN ST,CHAPEL HILL,NC,27514,2015/07/17 02:14:00+00,2015/07/17 02:14:00+00,2015/07/17 02:14:00+00,MISC OFFICER IN,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913839,-79.054094,38790
-8800978.609,4288575.944,115087,CHPD,OPEN CONTAINER,321 W ROSEMARY ST,CHAPEL HILL,NC,27516,2015/08/18 22:29:00+00,2015/08/18 22:28:00+00,2015/08/18 22:28:00+00,MISC OFFICER IN,PARKING LOT/AREA,N,<Null>,<Null>,<Null>,<Null>,35.912411,-79.060536,39097
-8800341.639,4288458.703,115134,CHPD,OPEN CONTAINER OF MALT BEVERAGE,FRATERNITY CT/S COLUMBIA ST,CHAPEL HILL,NC,27516,2015/08/20 23:55:00+00,2015/08/20 23:55:00+00,2015/08/20 23:55:00+00,MISC OFFICER IN,HIGHWAY/ROAD/STREET  ETC.,<Null>,<Null>,<Null>,<Null>,<Null>,35.911558,-79.054814,39262
-8796922.684,4290219.785,114862,CHPD,OPEN CONTAINER,350 S ESTES DR,CHAPEL HILL,NC,27514,2015/08/08 00:07:00+00,2015/08/08 00:06:00+00,2015/08/08 00:07:00+00,<Null>,BEHIND BUILDING/ALLEY,N,<Null>,<Null>,<Null>,<Null>,35.92437,-79.024101,39332
-8800279.857,4288755.038,114882,CHPD,OPEN CONTAINER,144 E FRANKLIN ST,CHAPEL HILL,NC,27514,2015/08/09 22:13:00+00,2015/08/09 22:12:00+00,2015/08/09 22:12:00+00,MISC OFFICER IN,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913714,-79.054259,39837
-8800929.963,4288452.381,116150,CHPD,OPEN CONTAINER OF MALT BEVERAGE,310 W FRANKLIN ST,CHAPEL HILL,NC,27516,2015/09/03 21:10:00+00,2015/09/03 21:09:00+00,2015/09/03 21:10:00+00,MISC OFFICER IN,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.911512,-79.060099,39853
-8800903.803,4288465.301,116302,CHPD,OPEN CONTAINER,306 W FRANKLIN ST,CHAPEL HILL,NC,27516,2015/09/07 08:52:00+00,2015/09/07 08:52:00+00,2015/09/07 08:52:00+00,MISC OFFICER IN,PARKING LOT/AREA,N,<Null>,<Null>,<Null>,<Null>,35.911606,-79.059864,39999
-8800279.857,4288755.038,117881,CHPD,OPEN CONTAINER,144 E FRANKLIN ST,CHAPEL HILL,NC,27514,2015/10/12 19:30:00+00,2015/10/12 19:29:00+00,2015/10/12 19:29:00+00,LE ASSISTANCE,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913714,-79.054259,40053
-8800679.049,4287835.96,117166,CHPD,OPEN CONTAINER,238 MCCAULEY ST/RANSOM ST,CHAPEL HILL,NC,27516,2015/09/26 12:21:00+00,2015/09/26 12:21:00+00,2015/09/26 12:21:00+00,MISC OFFICER IN,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.907027,-79.057845,40333
-8800261.489,4288772.219,116427,CHPD,OPEN CONTAINER OF MALT BEVERAGE,149 E FRANKLIN ST,CHAPEL HILL,NC,27514,2015/09/09 20:41:00+00,2015/09/09 20:41:00+00,2015/09/09 20:41:00+00,MISC OFFICER IN,HIGHWAY/ROAD/STREET  ETC.,<Null>,<Null>,<Null>,<Null>,<Null>,35.913839,-79.054094,40528
-8800933.191,4288442.347,117124,CHPD,OPEN CONTAINER,311 W FRANKLIN ST,CHAPEL HILL,NC,27516,2015/09/25 20:36:00+00,2015/09/25 20:35:00+00,2015/09/25 20:35:00+00,MISC OFFICER IN,HIGHWAY/ROAD/STREET  ETC.,<Null>,<Null>,<Null>,<Null>,<Null>,35.911439,-79.060128,40544
-8800305.906,4288742.667,116975,CHPD,OPEN CONTAINER OF MALT BEVERAGE,138 E FRANKLIN ST,CHAPEL HILL,NC,27514,2015/09/21 21:43:00+00,2015/09/21 21:43:00+00,2015/09/21 21:43:00+00,MISC OFFICER IN,HIGHWAY/ROAD/STREET  ETC.,<Null>,<Null>,<Null>,<Null>,<Null>,35.913624,-79.054493,40705
